campaign name,date,hour,clicks,impressions,cost_micros,bidding_strategy_type,conversions,cost_per_conversion,Click-through rate (CTR),average cost per click (CPC),cost-per-acquisition (CPA),Cost,conversion per euro
SHOPTIMISED PMax-46 - all products-M,2023-11-28,21,0,2,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-28,22,0,8,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-28,23,0,23,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,0,0,12,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,1,1,23,640000,MAXIMIZE_CONVERSION_VALUE,0,,4.347826087,0.64,12.8,0.64,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,2,0,41,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,3,0,62,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,4,1,38,500000,MAXIMIZE_CONVERSION_VALUE,0,,2.631578947,0.5,10,0.5,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,5,0,55,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,6,0,75,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,7,0,91,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,8,0,212,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,9,4,208,1070000,MAXIMIZE_CONVERSION_VALUE,1,1070000,1.923076923,0.2675,1.07,1.07,0.9345794393
SHOPTIMISED PMax-46 - all products-M,2023-11-29,10,0,137,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,11,1,67,310000,MAXIMIZE_CONVERSION_VALUE,0,,1.492537313,0.31,6.2,0.31,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,12,1,64,170000,MAXIMIZE_CONVERSION_VALUE,0,,1.5625,0.17,3.4,0.17,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,13,1,38,610000,MAXIMIZE_CONVERSION_VALUE,0,,2.631578947,0.61,12.2,0.61,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,14,2,16,760000,MAXIMIZE_CONVERSION_VALUE,0,,12.5,0.38,7.6,0.76,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,0,0,1,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,1,0,1,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,2,0,2,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,3,0,3,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,4,0,1,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,5,0,2,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,7,0,1,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,8,0,5,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,9,0,6,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,10,0,7,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,11,0,9,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,12,0,24,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,13,0,12,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,14,0,17,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,15,2,36,100000,MAXIMIZE_CONVERSION_VALUE,0,,5.555555556,0.05,1,0.1,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,16,0,13,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,17,0,25,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,18,0,26,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,19,0,14,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,20,3,54,1110000,MAXIMIZE_CONVERSION_VALUE,0,,5.555555556,0.37,7.4,1.11,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,21,0,82,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,22,0,90,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,23,2,224,220000,MAXIMIZE_CONVERSION_VALUE,0,,0.8928571429,0.11,2.2,0.22,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,0,2,118,1080000,MAXIMIZE_CONVERSION_VALUE,0,,1.694915254,0.54,10.8,1.08,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,1,0,111,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,2,1,12,1450000,MAXIMIZE_CONVERSION_VALUE,0,,8.333333333,1.45,29,1.45,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,3,0,27,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,4,0,39,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,5,0,74,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,6,0,17,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,7,1,25,30000,MAXIMIZE_CONVERSION_VALUE,0,,4,0.03,0.6,0.03,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,8,0,51,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,9,0,24,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,10,0,19,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,11,0,23,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,12,0,29,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,13,0,17,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,14,0,21,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,15,0,16,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,16,0,5,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,17,0,3,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,18,0,1,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0
