campaign name,date,clicks,impressions,cost_micros,bidding_strategy_type,conversions,cost_per_conversion,Click-through rate (CTR),average cost per click (CPC),cost-per-acquisition (CPA),Cost,conversion_per_euro,budget,isholiday
SHOPTIMISED PMax-46 - all products-M,2023-11-28,0,33,0,MAXIMIZE_CONVERSION_VALUE,0,,0,0,0,0,0,5,0
SHOPTIMISED PMax-46 - all products-M,2023-11-29,11,1139,4060000,MAXIMIZE_CONVERSION_VALUE,1,4060000,0.9657594381,0.3690909091,4.06,4.06,0.2463054187,2,0
SHOPTIMISED PMax-46 - all products-M,2023-11-30,7,655,1430000,MAXIMIZE_CONVERSION_VALUE,0,,1.06870229,0.2042857143,4.085714286,1.43,0,2,0
SHOPTIMISED PMax-46 - all products-M,2023-12-01,5,684,2640000,MAXIMIZE_CONVERSION_VALUE,0,,0.730994152,0.528,10.56,2.64,0,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-02,43,3792,10510000,MAXIMIZE_CONVERSION_VALUE,3.332276,3154000.449,1.133966245,0.2444186047,3.154000449,10.51,0.3170576594,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-03,38,4073,8750000,MAXIMIZE_CONVERSION_VALUE,1,8750000,0.9329732384,0.2302631579,8.75,8.75,0.1142857143,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-04,20,1776,6890000,MAXIMIZE_CONVERSION_VALUE,1.489492,4625738.171,1.126126126,0.3445,4.625738171,6.89,0.2161817126,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-05,20,2564,3530000,MAXIMIZE_CONVERSION_VALUE,2,1765000,0.7800312012,0.1765,1.765,3.53,0.566572238,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-06,30,3811,8630000,MAXIMIZE_CONVERSION_VALUE,3.5,2465714.286,0.787194962,0.2876666667,2.465714286,8.63,0.405561993,7,0
SHOPTIMISED PMax-46 - all products-M,2023-12-07,25,2361,14313062,MAXIMIZE_CONVERSION_VALUE,2.166667,6606027.599,1.058873359,0.57252248,6.606027599,14.313062,0.1513769031,14,0
SHOPTIMISED PMax-46 - all products-M,2023-12-08,74,6962,25161386,MAXIMIZE_CONVERSION_VALUE,5.5,4574797.455,1.062912956,0.3400187297,4.574797455,25.161386,0.2185889124,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-09,110,12002,33665622,MAXIMIZE_CONVERSION_VALUE,5,6733124.4,0.9165139143,0.3060511091,6.7331244,33.665622,0.14851946,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-10,87,8605,26369909,MAXIMIZE_CONVERSION_VALUE,4.502374,5856889.943,1.011040093,0.3031024023,5.856889943,26.369909,0.1707390799,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-11,96,8887,24544942,MAXIMIZE_CONVERSION_VALUE,6.315837,3886253.239,1.080229549,0.2556764792,3.886253239,24.544942,0.2573172509,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-12,85,8155,24550000,MAXIMIZE_CONVERSION_VALUE,7.614229,3224226.642,1.042305334,0.2888235294,3.224226642,24.55,0.3101518941,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-13,83,9009,27094191,MAXIMIZE_CONVERSION_VALUE,6.894396,3929886.099,0.9213009213,0.3264360361,3.929886099,27.094191,0.2544603011,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-14,80,8912,23673883,MAXIMIZE_CONVERSION_VALUE,4.990292,4743987.526,0.8976660682,0.2959235375,4.743987526,23.673883,0.2107931344,24,0
SHOPTIMISED PMax-46 - all products-M,2023-12-15,55,6371,21436922,MAXIMIZE_CONVERSION_VALUE,3.831393,5595072.602,0.8632867682,0.3897622182,5.595072602,21.436922,0.1787286906,24,0
