Day,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Conv. value,Campaign type,Bid strategy type,Campaign group
2023-11-18,Paused,New Arrivals 05/10/2023,--,GBP,3,Daily,Paused,campaign paused; unknown,1,0.62%,0.16,162,0.16,0.16,0,Shopping,Target ROAS,--
2023-11-13,Paused,New Arrivals 05/10/2023,--,GBP,3,Daily,Paused,campaign paused; unknown,3,1.15%,0.18,261,0.18,0.53,0,Shopping,Target ROAS,--
2023-10-10,Paused,New Arrivals 05/10/2023,--,GBP,3,Daily,Paused,campaign paused; unknown,17,0.72%,0.23,2373,0.23,3.83,118.46,Shopping,Target ROAS,--
2023-06-20,Paused,Display-Campaign Group 01,--,GBP,5,Daily,Paused,campaign paused; unknown,4,0.28%,0.11,1411,0.11,0.44,0,Display,Target ROAS,--
2024-05-15,Enabled,Thushanthuu=SHP=IMPRESSIONS=New led bulb,--,GBP,2,Daily,Eligible,unknown,0,0%,0,1,0,0,0,Performance Max,Maximize Conversion Value,DUSHAN
2024-05-06,Enabled,Thushanthuu=SHP=IMPRESSIONS=New led bulb,--,GBP,2,Daily,Eligible,unknown,3,0.60%,1.21,501,1.21,3.64,14.65,Performance Max,Maximize Conversion Value,DUSHAN
2023-11-13,Paused,High Conversion Product 18/10,--,GBP,0.1,Daily,Paused,campaign paused; unknown,2,1.59%,0.29,126,0.29,0.57,0,Shopping,CPC (enhanced),--
2023-06-29,Paused,Performance Max-19Spiderlight,--,GBP,1,Daily,Paused,campaign paused; most asset groups under review,2,25%,0.78,8,0.78,1.56,83.49,Performance Max,Maximize Conversion Value (Target ROAS),--
2023-10-18,Paused,High Conversion Product 18/10,--,GBP,0.1,Daily,Paused,campaign paused; unknown,1,0.39%,0.29,257,0.29,0.29,0,Shopping,CPC (enhanced),--
2023-11-10,Paused,High Conversion Product 18/10,--,GBP,0.1,Daily,Paused,campaign paused; unknown,2,2.86%,0.25,70,0.25,0.5,0,Shopping,CPC (enhanced),--
2023-11-22,Paused,High Conversion Product 18/10,--,GBP,0.1,Daily,Paused,campaign paused; unknown,0,0%,0,20,0,0,0,Shopping,CPC (enhanced),--
2023-06-18,Paused,Performance Max-19Spiderlight,--,GBP,1,Daily,Paused,campaign paused; most asset groups under review,3,1.71%,0.56,175,0.56,1.68,0,Performance Max,Maximize Conversion Value (Target ROAS),--
