,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Campaign type,Bid strategy type,Campaign group,Original Conv Value,Predicted Conv Value 1,Predicted Conv Value 2
0,1,56,0,0,3.0,0,4,6,1,0.0062,0.16,162,0.16,0.16,3,7,0,0.0,0.23117200915855754,0.017456630531522195
1,1,56,0,0,3.0,0,4,6,3,0.0115,0.18,261,0.18,0.53,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2,1,56,0,0,3.0,0,4,6,17,0.0072,0.23,2373,0.23,3.83,3,7,0,118.46,38.62744338933529,19.66085314685316
3,1,21,0,0,5.0,0,4,6,4,0.0028000000000000004,0.11,1411,0.11,0.44,0,7,0,0.0,0.23117200915855754,7.290714285714286
4,0,126,0,0,2.0,0,0,15,0,0.0,0.0,1,0.0,0.0,1,2,1,0.0,0.23117200915855754,0.017456630531522195
5,0,126,0,0,2.0,0,0,15,3,0.006,1.21,501,1.21,3.64,1,2,1,14.65,38.62744338933529,19.66085314685316
6,1,40,0,0,0.1,0,4,6,2,0.0159,0.29,126,0.29,0.57,3,0,0,0.0,0.23117200915855754,0.017456630531522195
7,1,63,0,0,1.0,0,4,5,2,0.25,0.78,8,0.78,1.56,1,3,0,83.49,0.23117200915855754,7.421476355247985
8,1,40,0,0,0.1,0,4,6,1,0.0039000000000000003,0.29,257,0.29,0.29,3,0,0,0.0,0.23117200915855754,0.017456630531522195
9,1,40,0,0,0.1,0,4,6,2,0.0286,0.25,70,0.25,0.5,3,0,0,0.0,0.23117200915855754,0.017456630531522195
10,1,40,0,0,0.1,0,4,6,0,0.0,0.0,20,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
11,1,63,0,0,1.0,0,4,5,3,0.0171,0.56,175,0.56,1.68,1,3,0,0.0,0.23117200915855754,7.421476355247985
12,0,105,0,0,2.0,0,0,15,18,0.0089,1.11,2028,0.66,19.92,1,2,8,26.78,38.62744338933529,48.014200542005376
13,0,105,0,0,2.0,0,0,15,17,0.0086,0.56,1985,0.56,9.53,1,2,8,0.0,38.62744338933529,48.014200542005376
14,0,105,0,0,2.0,0,0,15,0,0.0,0.0,3,0.03,0.03,1,2,8,0.0,0.23117200915855754,0.017456630531522195
15,0,105,0,0,2.0,0,0,15,0,0.0,0.0,3,0.0,0.0,1,2,8,0.0,0.23117200915855754,0.017456630531522195
16,0,105,0,0,2.0,0,0,15,9,0.0055000000000000005,0.43,1625,0.35,3.9,1,2,8,0.0,38.62744338933529,19.66085314685316
17,1,82,0,0,0.5,0,4,6,0,0.0,0.0,13,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
18,2,152,0,0,5.0,0,5,12,42,0.0077,0.16,5444,0.16,6.7,3,7,0,362.48,38.62744338933529,50.214585987261124
19,1,82,0,0,0.5,0,4,6,2,0.0060999999999999995,0.3,326,0.3,0.6,3,0,0,0.0,0.23117200915855754,0.017456630531522195
20,1,82,0,0,0.5,0,4,6,34,0.0083,0.12,4106,0.12,3.99,3,0,0,44.22,38.62744338933529,50.214585987261124
21,1,82,0,0,0.5,0,4,6,0,0.0,0.0,14,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
22,2,152,0,0,5.0,0,5,12,102,0.012,0.17,8476,0.17,17.39,3,7,0,200.77,219.9967875647666,148.59815217391312
23,2,152,0,0,5.0,0,5,12,10,0.0088,0.06,1141,0.06,0.63,3,7,0,24.45,0.23117200915855754,7.290714285714286
24,1,82,0,0,0.5,0,4,6,4,0.0043,0.04,926,0.04,0.17,3,0,0,0.0,0.23117200915855754,0.017456630531522195
25,1,82,0,0,0.5,0,4,6,0,0.0,0.0,14,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
26,2,152,0,0,5.0,0,5,12,44,0.0115,0.13,3813,0.13,5.58,3,7,0,40.26,38.62744338933529,50.214585987261124
27,2,152,0,0,5.0,0,5,12,39,0.0103,0.14,3788,0.14,5.35,3,7,0,103.8,38.62744338933529,50.214585987261124
28,1,82,0,0,0.5,0,4,6,5,0.0045000000000000005,0.12,1120,0.12,0.62,3,0,0,0.0,0.23117200915855754,7.290714285714286
29,1,82,0,0,0.5,0,4,6,25,0.0070999999999999995,0.09,3533,0.09,2.15,3,0,0,0.0,0.23117200915855754,7.421476355247985
30,2,152,0,0,5.0,0,5,12,27,0.009899999999999999,0.14,2740,0.14,3.73,3,7,0,21.46,38.62744338933529,50.214585987261124
31,1,82,0,0,0.5,0,4,6,36,0.0076,0.1,4748,0.1,3.56,3,0,0,17.34,38.62744338933529,50.214585987261124
32,1,82,0,0,0.5,0,4,6,14,0.011200000000000002,0.06,1253,0.06,0.87,3,0,0,20.53,0.23117200915855754,7.421476355247985
33,2,152,0,0,5.0,0,5,12,20,0.0079,0.09,2520,0.09,1.84,3,7,0,7.68,0.23117200915855754,14.74322884012539
34,0,50,0,0,5.0,0,2,13,14,0.009899999999999999,0.37,1410,0.31,5.23,1,3,0,0.0,38.62744338933529,19.66085314685316
35,0,50,0,0,5.0,0,2,13,15,0.011699999999999999,0.27,1287,0.27,4.05,1,3,0,25.8,38.62744338933529,19.66085314685316
36,1,48,0,0,2.0,0,4,2,6,0.0115,0.58,523,0.58,3.46,4,6,0,0.0,38.62744338933529,19.66085314685316
37,2,71,0,0,2.0,0,5,12,0,0.0,0.0,4,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
38,1,48,0,0,2.0,0,4,2,46,0.0101,0.07,4544,0.07,3.07,4,6,0,0.0,0.23117200915855754,7.421476355247985
39,0,50,0,0,5.0,0,2,13,9,0.0116,0.86,777,0.86,7.72,1,3,0,0.0,38.62744338933529,91.82370967741937
40,2,71,0,0,2.0,0,5,12,0,0.0,0.0,10,0.0,0.0,1,3,0,0.0,0.23117200915855754,0.017456630531522195
41,1,48,0,0,2.0,0,4,2,5,0.0070999999999999995,0.31,704,0.31,1.55,4,6,0,0.0,0.23117200915855754,7.421476355247985
42,0,50,0,0,5.0,0,2,13,9,0.0154,0.57,583,0.47,5.13,1,3,0,0.8,38.62744338933529,19.66085314685316
43,0,120,0,0,2.0,0,3,1,17,0.0098,0.14,1734,0.14,2.35,3,7,0,30.54,0.23117200915855754,7.421476355247985
